Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
183,183 - KUMHRAR,1,INDRADEEP KUMAR CHANDRAVANSHI,Indian National Congress,52869,92,52961,30.52
183,183 - KUMHRAR,2,DR. UMA KANT PATHAK,Bahujan Samaj Party,668,0,668,0.39
183,183 - KUMHRAR,3,BABLU KUMAR,Aam Aadmi Party,545,1,546,0.31
183,183 - KUMHRAR,4,SANJAY KUMAR,Bharatiya Janata Party,100342,143,100485,57.91
183,183 - KUMHRAR,5,AMRENDRA KUMAR BHASKAR,"Proutist Bloc, India",561,0,561,0.32
183,183 - KUMHRAR,6,KRISHNA CHANDRA SINHA,Jan Suraaj Party,14965,52,15017,8.66
183,183 - KUMHRAR,7,DHANJAY KUMAR,Rashtriya Jansambhavna Party,270,0,270,0.16
183,183 - KUMHRAR,8,SHAHID ALAM,Jantantra Awaj Party,204,0,204,0.12
183,183 - KUMHRAR,9,SAROJ KUMAR SUMAN,Socialist Unity Centre Of India (COMMUNIST),207,0,207,0.12
183,183 - KUMHRAR,10,SUMIT RANJAN SINHA,Akhand Bharat Janpriya Party,215,0,215,0.12
183,183 - KUMHRAR,11,ANUJ KUMAR SINGH,Independent,538,1,539,0.31
183,183 - KUMHRAR,12,ABHAY KUMAR,Independent,256,0,256,0.15
183,183 - KUMHRAR,13,AMIT KUMAR ALBELA,Independent,299,0,299,0.17
183,183 - KUMHRAR,14,NOTA,None of the Above,1276,2,1278,0.74
