Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
184,184 - PATNA SAHIB,1,RANDHIR KUMAR,Bahujan Samaj Party,1206,1,1207,0.51
184,184 - PATNA SAHIB,2,RATNESH KUMAR,Bharatiya Janata Party,130200,166,130366,55.44
184,184 - PATNA SAHIB,3,SHASHANT SHEKHAR,Indian National Congress,91335,131,91466,38.9
184,184 - PATNA SAHIB,4,ADIL AFTAB KHAN,Nationalist Congress Party,899,3,902,0.38
184,184 - PATNA SAHIB,5,MD IFTEKHAR HUSSAIN,Bharatiya Momin Front,567,0,567,0.24
184,184 - PATNA SAHIB,6,OM PRAKASH PANJIYAR,Sarv Jan Party (Bharat),377,0,377,0.16
184,184 - PATNA SAHIB,7,MINU KUMARI,Janshakti Janta Dal,606,0,606,0.26
184,184 - PATNA SAHIB,8,VINITA MISHRA,Jan Suraaj Party,5230,33,5263,2.24
184,184 - PATNA SAHIB,9,MD SHABAB RAHBAR,Rashtriya Jansambhavna Party,1318,0,1318,0.56
184,184 - PATNA SAHIB,10,AMIT KUMAR ALBELA,Independent,981,0,981,0.42
184,184 - PATNA SAHIB,11,NOTA,None of the Above,2094,5,2099,0.89
