Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
185,185 - FATUHA,1,DR. RAMANAND YADAV,Rashtriya Janata Dal,90438,120,90558,45.69
185,185 - FATUHA,2,RUPA KUMARI,Lok Janshakti Party (Ram Vilas),82423,143,82566,41.66
185,185 - FATUHA,3,JIYA SINGH LUCY,Adarsh Jankalyan Dal,1355,3,1358,0.69
185,185 - FATUHA,4,RAJU KUMAR,Jan Suraaj Party,8539,59,8598,4.34
185,185 - FATUHA,5,RAJESH PASWAN,Indian National Socialistic Action Forces,500,2,502,0.25
185,185 - FATUHA,6,BINAY SINGH,Kisan Sangharsh Samiti,839,0,839,0.42
185,185 - FATUHA,7,SHIV NANDAN TIWARI,Ambedkar National Congress,973,5,978,0.49
185,185 - FATUHA,8,RANADHIR KUMAR,Independent,1756,0,1756,0.89
185,185 - FATUHA,9,RAMJATAN CHOUDHARY,Independent,566,2,568,0.29
185,185 - FATUHA,10,BRIJBHAN RAM,Independent,807,0,807,0.41
185,185 - FATUHA,11,SHAKTI PASWAN,Independent,909,1,910,0.46
185,185 - FATUHA,12,SANJEET KUMAR,Independent,4801,1,4802,2.42
185,185 - FATUHA,13,NOTA,None of the Above,3930,8,3938,1.99
