Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
187,187 - MANER,1,JITENDRA YADAV,Lok Janshakti Party (Ram Vilas),90590,174,90764,40.14
187,187 - MANER,2,BHAI BIRENDRA,Rashtriya Janata Dal,110460,338,110798,48.99
187,187 - MANER,3,MANTOSH KUMAR SINGH,Insaniyat Party,1945,2,1947,0.86
187,187 - MANER,4,SHANKAR KUMAR,Janshakti Janta Dal,3280,10,3290,1.45
187,187 - MANER,5,SHIV KUMAR SINGH,Apna Kisan Party,742,2,744,0.33
187,187 - MANER,6,SANDIP KUMAR SINGH ALIAS GOPAL SANDEEP SINGH,Jan Suraaj Party,3945,35,3980,1.76
187,187 - MANER,7,SATISH KUMAR,Rashtriya Jansambhavna Party,986,1,987,0.44
187,187 - MANER,8,GUDIYA KUMARI,Independent,479,4,483,0.21
187,187 - MANER,9,CHANDRASHEKHAR MAHTO,Independent,637,0,637,0.28
187,187 - MANER,10,MUKESH KUMAR,Independent,673,0,673,0.3
187,187 - MANER,11,VIKASH KUMAR ALIAS DIKESH SINGH,Independent,2886,3,2889,1.28
187,187 - MANER,12,SANNEE KUMAR,Independent,1141,0,1141,0.5
187,187 - MANER,13,SANNU DEVI,Independent,2769,0,2769,1.22
187,187 - MANER,14,NOTA,None of the Above,5034,7,5041,2.23
