Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
188,188 - PHULWARI,1,ARUN KUMAR RAJAK,Aam Aadmi Party,5297,8,5305,2.06
188,188 - PHULWARI,2,GOPAL RAVI DAS,Communist Party of India (Marxist-Leninist) (Liberation),93645,168,93813,36.48
188,188 - PHULWARI,3,SHYAM RAJAK,Janata Dal (United),126194,276,126470,49.18
188,188 - PHULWARI,4,SUNIL PASWAN,Rashtriya Lok Janshakti Party,2594,4,2598,1.01
188,188 - PHULWARI,5,MAHESH PASWAN,Bhartiya Lok Chetna Party,1291,0,1291,0.5
188,188 - PHULWARI,6,MUKESH KUMAR,Rashtriya Republican Party,907,1,908,0.35
188,188 - PHULWARI,7,YUVRAJ KUMAR,Samata Party,1590,1,1591,0.62
188,188 - PHULWARI,8,SHASHI KANT PRASAD,Jan Suraaj Party,11047,53,11100,4.32
188,188 - PHULWARI,9,SHRI RAJ PASWAN,Prabal Bharat Party,1154,1,1155,0.45
188,188 - PHULWARI,10,ANIL DAS,Independent,1332,1,1333,0.52
188,188 - PHULWARI,11,PUJA KUMARI,Independent,3795,3,3798,1.48
188,188 - PHULWARI,12,SUKESH KUMAR,Independent,2927,1,2928,1.14
188,188 - PHULWARI,13,NOTA,None of the Above,4838,6,4844,1.88
