Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
189,189 - MASAURHI,1,ARUN MANJHI,Janata Dal (United),106293,212,106505,47.16
189,189 - MASAURHI,2,MANOJ KUMAR,Bahujan Samaj Party,4073,3,4076,1.8
189,189 - MASAURHI,3,REKHA DEVI,Rashtriya Janata Dal,98651,211,98862,43.78
189,189 - MASAURHI,4,RAJESHWAR MANJHI,Jan Suraaj Party,4658,35,4693,2.08
189,189 - MASAURHI,5,JAGAT PASWAN,Independent,1762,0,1762,0.78
189,189 - MASAURHI,6,RAVI PRAKASH,Independent,979,1,980,0.43
189,189 - MASAURHI,7,RAM EKWAL RAVIDAS,Independent,757,0,757,0.34
189,189 - MASAURHI,8,VIJENDRA PASWAN,Independent,1942,0,1942,0.86
189,189 - MASAURHI,9,SRI KANT KUMAR,Independent,1096,0,1096,0.49
189,189 - MASAURHI,10,NOTA,None of the Above,5145,1,5146,2.28
