Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
190,190 - PALIGANJ,1,SHIVNATH KUMAR,Aam Aadmi Party,1809,3,1812,0.99
190,190 - PALIGANJ,2,SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),80868,237,81105,44.48
190,190 - PALIGANJ,3,SUNIL KUMAR,Lok Janshakti Party (Ram Vilas),74287,163,74450,40.83
190,190 - PALIGANJ,4,SUSHANT,Bahujan Samaj Party,2740,5,2745,1.51
190,190 - PALIGANJ,5,ANAMIKA,Socialist Unity Centre Of India (COMMUNIST),430,3,433,0.24
190,190 - PALIGANJ,6,ANAND KUMAR,Bhartiya Lok Chetna Party,513,1,514,0.28
190,190 - PALIGANJ,7,GIRJA RAM,Suheldev Bharatiya Samaj Party,808,1,809,0.44
190,190 - PALIGANJ,8,JITENDRA KUMAR PANDIT,Awami Samta Party,374,0,374,0.21
190,190 - PALIGANJ,9,SHYAM NANDAN SHARMA,Jan Suraaj Party,6548,64,6612,3.63
190,190 - PALIGANJ,10,ARVIND KUMAR MAURYA,Independent,955,7,962,0.53
190,190 - PALIGANJ,11,JITENDRA KUMAR,Independent,790,0,790,0.43
190,190 - PALIGANJ,12,MRITUNJAY KUMAR,Independent,1421,1,1422,0.78
190,190 - PALIGANJ,13,SHAMBHU KUMAR,Independent,3747,0,3747,2.06
190,190 - PALIGANJ,14,SATYA NARAYAN YADAV,Independent,3354,0,3354,1.84
190,190 - PALIGANJ,15,NOTA,None of the Above,3182,9,3191,1.75
