Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
191,191 - BIKRAM,1,ANIL KUMAR,Indian National Congress,95310,278,95588,44.42
191,191 - BIKRAM,2,RAM PRAVESH YADAV,Bahujan Samaj Party,2575,7,2582,1.2
191,191 - BIKRAM,3,SIDDHARTH SAURAV,Bharatiya Janata Party,100864,325,101189,47.02
191,191 - BIKRAM,4,AJEET KUMAR,Janshakti Janta Dal,4923,14,4937,2.29
191,191 - BIKRAM,5,CHANDAN SHARMA,Jagrook Janta Party,559,1,560,0.26
191,191 - BIKRAM,6,DHURAKHELI RAVIDAS,Indian National Socialistic Action Forces,404,0,404,0.19
191,191 - BIKRAM,7,MANTU KUMAR,Jan Suraaj Party,2993,44,3037,1.41
191,191 - BIKRAM,8,SHAMBHU PRASAD SHARMA,Hindustan Vikas Dal,913,0,913,0.42
191,191 - BIKRAM,9,CHANDAN KUMAR,Independent,1924,2,1926,0.89
191,191 - BIKRAM,10,RAJIV KUMAR SINGH,Independent,728,0,728,0.34
191,191 - BIKRAM,11,NOTA,None of the Above,3335,3,3338,1.55
