Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
192,192 - SANDESH,1,DIPU SINGH,Rashtriya Janata Dal,80108,463,80571,43.97
192,192 - SANDESH,2,RADHA CHARAN SAH,Janata Dal (United),80072,526,80598,43.99
192,192 - SANDESH,3,AJAY KUMAR PATHAK,Akhil Bharatiya Jan Sangh,1283,10,1293,0.71
192,192 - SANDESH,4,MANMOHAN SINGH,Rashtrawadi Janlok Party (Satya),505,4,509,0.28
192,192 - SANDESH,5,RAJIV RANJAN RAJ,Jan Suraaj Party,5920,120,6040,3.3
192,192 - SANDESH,6,SANJEET KUMAR,Peoples Party of India (Democratic),606,3,609,0.33
192,192 - SANDESH,7,SATYA PRAKASH,The Plurals Party,297,2,299,0.16
192,192 - SANDESH,8,ABHISHEK KUMAR,Independent,393,5,398,0.22
192,192 - SANDESH,9,MUKESH SINGH,Independent,5373,26,5399,2.95
192,192 - SANDESH,10,SANDHYA KUMARI,Independent,868,12,880,0.48
192,192 - SANDESH,11,SAMARJAY SINGH,Independent,2473,1,2474,1.35
192,192 - SANDESH,12,NOTA,None of the Above,4142,18,4160,2.27
