Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
193,193 - BARHARA,1,ASHOK KUMAR SINGH,Rashtriya Janata Dal,64751,439,65190,35.8
193,193 - BARHARA,2,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,78980,613,79593,43.71
193,193 - BARHARA,3,SANTOSH KUMAR SINGH,Peoples Party of India (Democratic),1054,5,1059,0.58
193,193 - BARHARA,4,SAURABH SINGH YADAV,Jan Suraaj Party,3101,88,3189,1.75
193,193 - BARHARA,5,KAJAL,Independent,1013,17,1030,0.57
193,193 - BARHARA,6,KISUN PRASAD,Independent,1355,2,1357,0.75
193,193 - BARHARA,7,DHARAMPAL YADAV,Independent,498,2,500,0.27
193,193 - BARHARA,8,BANSHIDHAR SINGH,Independent,1773,26,1799,0.99
193,193 - BARHARA,9,RANVIJAY KUMAR SINGH,Independent,3848,15,3863,2.12
193,193 - BARHARA,10,SHIV DAS SINGH,Independent,432,0,432,0.24
193,193 - BARHARA,11,SAROJ YADAV,Independent,8940,44,8984,4.93
193,193 - BARHARA,12,SURYA BHAN SINGH,Independent,9181,87,9268,5.09
193,193 - BARHARA,13,SAURAV NARANG,Independent,2359,2,2361,1.3
193,193 - BARHARA,14,NOTA,None of the Above,3460,11,3471,1.91
