Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
194,194 - ARRAH,1,QUYAMUDDIN ANSARI,Communist Party of India (Marxist-Leninist) (Liberation),74124,496,74620,40.38
194,194 - ARRAH,2,MRITUNJAY BHARDWAJ,Bahujan Samaj Party,1088,10,1098,0.59
194,194 - ARRAH,3,SANJAY SINGH (TIGER),Bharatiya Janata Party,93598,603,94201,50.98
194,194 - ARRAH,4,ARUN KUMAR SINGH,Bhartiya Mahasangh Party,900,8,908,0.49
194,194 - ARRAH,5,GORAKH RAM,Bhojpuria Jan Morcha,320,2,322,0.17
194,194 - ARRAH,6,DHARMATMA SHARMA,Socialist Unity Centre Of India (COMMUNIST),179,1,180,0.1
194,194 - ARRAH,7,RAJ KISHOR SHARMA,Jantantra Awaj Party,267,1,268,0.15
194,194 - ARRAH,8,RAJESH SHARMA,Gantantrik Samaj Party,336,1,337,0.18
194,194 - ARRAH,9,RAM PRAKASH PANDEY,Akhil Bharatiya Jan Sangh,379,5,384,0.21
194,194 - ARRAH,10,DR. VIJAY KUMAR GUPTA,Jan Suraaj Party,5680,120,5800,3.14
194,194 - ARRAH,11,MD. SARFARAJ ANSARI,Peoples Party of India (Democratic),678,1,679,0.37
194,194 - ARRAH,12,AMARDEEP KUMAR JAI,Independent,1183,0,1183,0.64
194,194 - ARRAH,13,SACHIN,Independent,643,1,644,0.35
194,194 - ARRAH,14,NOTA,None of the Above,4139,15,4154,2.25
