Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
195,195 - AGIAON,1,MAHESH PASWAN,Bharatiya Janata Party,69039,373,69412,45.2
195,195 - AGIAON,2,MUKESH KUMAR RAM,Bahujan Samaj Party,1424,16,1440,0.94
195,195 - AGIAON,3,SHIV PRAKASH RANJAN,Communist Party of India (Marxist-Leninist) (Liberation),68892,425,69317,45.14
195,195 - AGIAON,4,BARUN DEO,Janshakti Janta Dal,1317,9,1326,0.86
195,195 - AGIAON,5,BASANT KUMAR RAM,Voters Party International,584,0,584,0.38
195,195 - AGIAON,6,RAMESH KUMAR,Jan Suraaj Party,3808,74,3882,2.53
195,195 - AGIAON,7,VIJAY MEHRA,Independent,733,1,734,0.48
195,195 - AGIAON,8,SHYAM BIHARI CHOUDHARY,Independent,2503,5,2508,1.63
195,195 - AGIAON,9,SURAJ BHAN,Independent,719,1,720,0.47
195,195 - AGIAON,10,NOTA,None of the Above,3622,9,3631,2.36
