Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
196,196 - TARARI,1,MADAN SINGH S/O-KUMI SINGH,Communist Party of India (Marxist-Leninist) (Liberation),84911,512,85423,43.72
196,196 - TARARI,2,VISHAL PRASHANT,Bharatiya Janata Party,96310,577,96887,49.59
196,196 - TARARI,3,SANJAY KUMAR SHARMA,Aam Aadmi Party,1212,11,1223,0.63
196,196 - TARARI,4,SANTOSH KUMAR SINGH,Bahujan Samaj Party,389,7,396,0.2
196,196 - TARARI,5,ASHOK KUMAR SINGH,Socialist Party (India),122,0,122,0.06
196,196 - TARARI,6,CHANDRA SHEKHAR SINGH,Jan Suraaj Party,2211,60,2271,1.16
196,196 - TARARI,7,NARAYAN SINGH,Voters Party International,186,1,187,0.1
196,196 - TARARI,8,RAJU RAJVANSHI,Suheldev Bharatiya Samaj Party,305,4,309,0.16
196,196 - TARARI,9,RAJESH SINGH,Rashtriya Jansambhavna Party,160,3,163,0.08
196,196 - TARARI,10,SIKANDAR KUMAR,Janshakti Janta Dal,324,3,327,0.17
196,196 - TARARI,11,KARMOO SAH KESHARI,Independent,213,0,213,0.11
196,196 - TARARI,12,MADAN SINGH S/O BARBHANGA SINGH,Independent,315,0,315,0.16
196,196 - TARARI,13,RAJNISH KUMAR,Independent,390,0,390,0.2
196,196 - TARARI,14,RAMESH CHANDRA RABI,Independent,712,2,714,0.37
196,196 - TARARI,15,RAJENDRA KUMAR PATHAK,Independent,2364,0,2364,1.21
196,196 - TARARI,16,NOTA,None of the Above,4074,4,4078,2.09
