Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
197,197 - JAGDISHPUR,1,KISHORE KUNAL,Rashtriya Janata Dal,74377,404,74781,39.73
197,197 - JAGDISHPUR,2,SRIBHAGWAN SINGH KUSHWAHA,Janata Dal (United),92462,512,92974,49.39
197,197 - JAGDISHPUR,3,SANJAY KUMAR CHATURVEDI,Bahujan Samaj Party,2805,15,2820,1.5
197,197 - JAGDISHPUR,4,NEERAJ ROY,Janshakti Janta Dal,597,10,607,0.32
197,197 - JAGDISHPUR,5,VIJAY SINGH,Jan Suraaj Party,4999,107,5106,2.71
197,197 - JAGDISHPUR,6,VIRENDRA KUMAR SINGH,Bhojpuria Jan Morcha,324,4,328,0.17
197,197 - JAGDISHPUR,7,AMRADEEP KUMAR JAI,Independent,489,1,490,0.26
197,197 - JAGDISHPUR,8,MUNGA LAL RAM,Independent,834,7,841,0.45
197,197 - JAGDISHPUR,9,RAJEEV RANJAN,Independent,3257,15,3272,1.74
197,197 - JAGDISHPUR,10,HIRALAL SINGH,Independent,3070,0,3070,1.63
197,197 - JAGDISHPUR,11,NOTA,None of the Above,3945,10,3955,2.1
