Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
198,198 - SHAHPUR,1,DHARMENDRA KUMAR,Bahujan Samaj Party,2911,12,2923,1.64
198,198 - SHAHPUR,2,RAKESH RANJAN,Bharatiya Janata Party,87897,758,88655,49.69
198,198 - SHAHPUR,3,RAHUL TIWARY,Rashtriya Janata Dal,72945,485,73430,41.16
198,198 - SHAHPUR,4,PADMA OJHA,Jan Suraaj Party,3837,111,3948,2.21
198,198 - SHAHPUR,5,MADAN YADAV,Janshakti Janta Dal,580,9,589,0.33
198,198 - SHAHPUR,6,SHANKAR KUMAR GOND,Gondvana Gantantra Party,231,4,235,0.13
198,198 - SHAHPUR,7,KRISHNA RAM,Independent,974,5,979,0.55
198,198 - SHAHPUR,8,GOUTTAM OJHA,Independent,253,2,255,0.14
198,198 - SHAHPUR,9,DABLU KUMAR GOND,Independent,1000,0,1000,0.56
198,198 - SHAHPUR,10,MANAN SHAH,Independent,2534,2,2536,1.42
198,198 - SHAHPUR,11,SAHABUDIN MIYA,Independent,1839,5,1844,1.03
198,198 - SHAHPUR,12,NOTA,None of the Above,2002,4,2006,1.12
