Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
200,200 - BUXAR,1,ABHIMNYU MAURY,Bahujan Samaj Party,28966,152,29118,15.44
200,200 - BUXAR,2,ANAND MISHRA,Bharatiya Janata Party,84261,640,84901,45.01
200,200 - BUXAR,3,DHARM RAJ SINGH,Aam Aadmi Party,1124,6,1130,0.6
200,200 - BUXAR,4,SANJAY KUMAR TIWARI URF MUNNA TIWARI,Indian National Congress,56049,499,56548,29.98
200,200 - BUXAR,5,TATHAGAT HARSH VARDHAN,Jan Suraaj Party,7820,100,7920,4.2
200,200 - BUXAR,6,PANKAJ KUMAR PANDEY,Kisan Samaj Party (S),480,6,486,0.26
200,200 - BUXAR,7,BINOD KUMAR SINGH,Bhartiya Sarthak Party,353,6,359,0.19
200,200 - BUXAR,8,VISHESHWAR CHAUHAN,Rashtriya Jansambhavna Party,343,3,346,0.18
200,200 - BUXAR,9,SOHAN GOND,Gondvana Gantantra Party,781,1,782,0.41
200,200 - BUXAR,10,OM JEE KUMAR,Independent,403,6,409,0.22
200,200 - BUXAR,11,NITU KUMARI,Independent,371,3,374,0.2
200,200 - BUXAR,12,PRAMILA DEVI,Independent,563,5,568,0.3
200,200 - BUXAR,13,MANOJ KUMAR,Independent,1455,10,1465,0.78
200,200 - BUXAR,14,RAMPRAVESH SINGH,Independent,1572,3,1575,0.84
200,200 - BUXAR,15,VISHWAMITRA KAHAR,Independent,1281,0,1281,0.68
200,200 - BUXAR,16,NOTA,None of the Above,1354,2,1356,0.72
