Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
201,201 - DUMRAON,1,DR. AJIT KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),76669,637,77306,39.3
201,201 - DUMRAON,2,DADAN YADAV,Bahujan Samaj Party,11026,101,11127,5.66
201,201 - DUMRAON,3,MRITYUNJAY KUMAR SINGH,Rashtriya Lok Janshakti Party,1763,31,1794,0.91
201,201 - DUMRAON,4,RAHUL KUMAR SINGH,Janata Dal (United),78884,527,79411,40.37
201,201 - DUMRAON,5,UMESH RAM,Sanyukt Kisan Vikas Party,919,7,926,0.47
201,201 - DUMRAON,6,DINESH SINGH,Janshakti Janta Dal,822,7,829,0.42
201,201 - DUMRAON,7,PRADIP KUMAR SHARAN,Suheldev Bharatiya Samaj Party,4967,9,4976,2.53
201,201 - DUMRAON,8,MANTOSH KUMAR GOND,Gondvana Gantantra Party,973,4,977,0.5
201,201 - DUMRAON,9,RAVISHANKAR PRASAD,Bhagidari Party(P),860,3,863,0.44
201,201 - DUMRAON,10,SHIVANG VIJAY SINGH,Jan Suraaj Party,5162,111,5273,2.68
201,201 - DUMRAON,11,SUSHIL KUMAR SHARMA,Jagrook Janta Party,496,2,498,0.25
201,201 - DUMRAON,12,PRAMILA DEVI,Independent,1062,5,1067,0.54
201,201 - DUMRAON,13,BHEEM KAMKAR,Independent,2660,1,2661,1.35
201,201 - DUMRAON,14,RAVI PRAKASH SINHA,Independent,994,1,995,0.51
201,201 - DUMRAON,15,RAVISHANKAR RAY,Independent,949,2,951,0.48
201,201 - DUMRAON,16,HEMLATA,Independent,3994,0,3994,2.03
201,201 - DUMRAON,17,NOTA,None of the Above,3050,9,3059,1.56
