Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
202,202 - RAJPUR,1,AMAR PASWAN,Rashtriya Lok Janshakti Party,1717,15,1732,0.82
202,202 - RAJPUR,2,LAL JEE RAM,Bahujan Samaj Party,20449,49,20498,9.7
202,202 - RAJPUR,3,VISHWANATH RAM,Indian National Congress,71213,352,71565,33.86
202,202 - RAJPUR,4,SANTOSH KUMAR NIRALA,Janata Dal (United),80368,333,80701,38.19
202,202 - RAJPUR,5,ANIL KUMAR RAM,Aazad Samaj Party (Kanshi Ram),4548,9,4557,2.16
202,202 - RAJPUR,6,DHANANJAY KUMAR,Jan Suraaj Party,12406,85,12491,5.91
202,202 - RAJPUR,7,BALESHWAR RAM,Rashtriya Jansambhavna Party,1017,0,1017,0.48
202,202 - RAJPUR,8,BHIM RAM,Sarvjan Sanatan Party,971,0,971,0.46
202,202 - RAJPUR,9,SHIV KUMAR RAM,Suheldev Bharatiya Samaj Party,6746,3,6749,3.19
202,202 - RAJPUR,10,SHIVJI KUMAR,Janshakti Vikas Party (Democratic),1608,1,1609,0.76
202,202 - RAJPUR,11,SUBHASH RAM,Bhartiya Sarthak Party,2514,3,2517,1.19
202,202 - RAJPUR,12,SURAJ PRAKASH RAM,Sanyukt Kisan Vikas Party,2753,0,2753,1.3
202,202 - RAJPUR,13,RAM LAL RAM,Independent,1386,1,1387,0.66
202,202 - RAJPUR,14,NOTA,None of the Above,2769,9,2778,1.31
