Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
204,204 - MOHANIA,1,OMPRAKASH NARAYAN,Bahujan Samaj Party,32123,140,32263,16.91
204,204 - MOHANIA,2,RANJIT DOM,Aam Aadmi Party,1059,1,1060,0.56
204,204 - MOHANIA,3,SANGITA KUMARI,Bharatiya Janata Party,75998,292,76290,39.98
204,204 - MOHANIA,4,KANHAIYA RAM,Jantantra Awaj Party,1102,4,1106,0.58
204,204 - MOHANIA,5,GITA DEVI,Jan Suraaj Party,14015,113,14128,7.4
204,204 - MOHANIA,6,NITISH KUMAR,Asankhya Samaj Party,843,0,843,0.44
204,204 - MOHANIA,7,BABUDHAN PASI,Rashtriya Jansambhavna Party,404,2,406,0.21
204,204 - MOHANIA,8,MUNNA KUMAR,Nationalist Congress Party,309,9,318,0.17
204,204 - MOHANIA,9,AJAY KUMAR,Independent,1135,3,1138,0.6
204,204 - MOHANIA,10,INDRAJIT RAM,Independent,565,3,568,0.3
204,204 - MOHANIA,11,NITU KUMARI,Independent,2202,3,2205,1.16
204,204 - MOHANIA,12,RAVI SHANKAR PASWAN,Independent,57251,287,57538,30.15
204,204 - MOHANIA,13,NOTA,None of the Above,2946,6,2952,1.55
