Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
206,206 - CHAINPUR,1,MD. ZAMA KHAN,Janata Dal (United),70597,279,70876,30.94
206,206 - CHAINPUR,2,DHIRAJ KUMAR SINGH,Bahujan Samaj Party,50987,213,51200,22.35
206,206 - CHAINPUR,3,RAM RAJ SHARMA,Aam Aadmi Party,1974,6,1980,0.86
206,206 - CHAINPUR,4,BRIJ KISHOR BIND,Rashtriya Janata Dal,62177,337,62514,27.29
206,206 - CHAINPUR,5,ANIL KUMAR SINGH,Jansatta Party of India,1154,1,1155,0.5
206,206 - CHAINPUR,6,ANUJ KUMAR DUBEY,Uday Bharatam Party,627,0,627,0.27
206,206 - CHAINPUR,7,GOVIND VIND,Vikassheel Insaan Party,5128,16,5144,2.25
206,206 - CHAINPUR,8,DINDAYAL SINGH KUSHAWAHA,Samata Party,444,1,445,0.19
206,206 - CHAINPUR,9,MAJNU GOND,Aazad Samaj Party (Kanshi Ram),3244,8,3252,1.42
206,206 - CHAINPUR,10,RAJA LAL SINGH,Bhagidari Party(P),5334,4,5338,2.33
206,206 - CHAINPUR,11,SUNIL KUMAR,Sarvlokhit Samaj Party,664,2,666,0.29
206,206 - CHAINPUR,12,SUNIL SHARMA,Jagrook Janta Party,933,0,933,0.41
206,206 - CHAINPUR,13,SUSHANK KUMAR SINGH,Suheldev Bharatiya Samaj Party,4898,2,4900,2.14
206,206 - CHAINPUR,14,HEMANT KUMAR CHOUBEY,Jan Suraaj Party,6820,57,6877,3
206,206 - CHAINPUR,15,AKASH RANJAN,Independent,1218,1,1219,0.53
206,206 - CHAINPUR,16,UTTAM PATEL,Independent,5279,23,5302,2.31
206,206 - CHAINPUR,17,GOPAL VINDA,Independent,1747,0,1747,0.76
206,206 - CHAINPUR,18,PRIYANKA,Independent,789,1,790,0.34
206,206 - CHAINPUR,19,MAHENDRA PRASAD,Independent,779,0,779,0.34
206,206 - CHAINPUR,20,MADHAW SINGH,Independent,1150,2,1152,0.5
206,206 - CHAINPUR,21,RAM EKABAL PRASAD,Independent,422,0,422,0.18
206,206 - CHAINPUR,22,SHRAVAN BIND,Independent,440,1,441,0.19
206,206 - CHAINPUR,23,NOTA,None of the Above,1314,7,1321,0.58
