Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
207,207 - CHENARI,1,ASHA PASWAN,Rashtriya Lok Janshakti Party,1591,9,1600,0.78
207,207 - CHENARI,2,MANGAL RAM,Indian National Congress,73182,409,73591,35.76
207,207 - CHENARI,3,MURARI PRASAD GAUTAM,Lok Janshakti Party (Ram Vilas),95310,269,95579,46.44
207,207 - CHENARI,4,SWETA DEVI,Bahujan Samaj Party,3500,11,3511,1.71
207,207 - CHENARI,5,AMIT PASWAN,Aazad Samaj Party (Kanshi Ram),7492,44,7536,3.66
207,207 - CHENARI,6,NEHA KUMARI,Jan Suraaj Party,9311,93,9404,4.57
207,207 - CHENARI,7,BHJURAM,Rashtriya Samanta Dal,432,1,433,0.21
207,207 - CHENARI,8,RAVISHANKAR PARASAD,Lohiya Janta Dal,318,0,318,0.15
207,207 - CHENARI,9,SALONI DEVI OMPRAKASH RAM,Republican Party of India (A),814,0,814,0.4
207,207 - CHENARI,10,SUNIL RAM,Rashtriya Jansambhavna Party,623,0,623,0.3
207,207 - CHENARI,11,NEHA KUMARI,Independent,1260,8,1268,0.62
207,207 - CHENARI,12,PANKAJ KUMAR,Independent,1064,0,1064,0.52
207,207 - CHENARI,13,PRAMHANSH KUMAR,Independent,1452,0,1452,0.71
207,207 - CHENARI,14,SUKHARI RAM,Independent,4265,1,4266,2.07
207,207 - CHENARI,15,HARE RAM RAM,Independent,2006,0,2006,0.97
207,207 - CHENARI,16,NOTA,None of the Above,2324,4,2328,1.13
