Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
208,208 - SASARAM,1,ARMAN AHMAD KHAN,Aam Aadmi Party,1063,4,1067,0.48
208,208 - SASARAM,2,ASHOK KUMAR,Bahujan Samaj Party,10177,84,10261,4.64
208,208 - SASARAM,3,SATENDRA SAH,Rashtriya Janata Dal,79046,517,79563,35.99
208,208 - SASARAM,4,ASHUTOSH SINGH,Nationalist Congress Party,695,13,708,0.32
208,208 - SASARAM,5,DHANJIT SHARMA,Jagrook Janta Party,1016,1,1017,0.46
208,208 - SASARAM,6,BINAY KUMAR SINGH,Jan Suraaj Party,6400,95,6495,2.94
208,208 - SASARAM,7,MD SHAHZAD HUSSAIN,Aazad Samaj Party (Kanshi Ram),3500,17,3517,1.59
208,208 - SASARAM,8,YASH RAJ SINGH,Jai Hind Force,598,2,600,0.27
208,208 - SASARAM,9,REKHA DEVI,Suheldev Bharatiya Samaj Party,2909,9,2918,1.32
208,208 - SASARAM,10,SNEHLATA,Rashtriya Lok Morcha,104701,305,105006,47.49
208,208 - SASARAM,11,ANAND KUMAR GUPTA,Independent,602,1,603,0.27
208,208 - SASARAM,12,ARIF ISAIN HUSSAIN,Independent,251,3,254,0.11
208,208 - SASARAM,13,OMJEET KUMAR,Independent,517,4,521,0.24
208,208 - SASARAM,14,KUMARI ARCHANA GUPTA,Independent,1024,3,1027,0.46
208,208 - SASARAM,15,KRISHNA KUMAR SINGH,Independent,346,0,346,0.16
208,208 - SASARAM,16,GEETA DEVI,Independent,876,0,876,0.4
208,208 - SASARAM,17,JAKIR HUSAIN,Independent,658,0,658,0.3
208,208 - SASARAM,18,NIRANJAN KUMAR,Independent,371,0,371,0.17
208,208 - SASARAM,19,BIMAL KANT DUBEY,Independent,860,0,860,0.39
208,208 - SASARAM,20,RAMAYAN PASWAN,Independent,326,1,327,0.15
208,208 - SASARAM,21,LAL MATI DEVI,Independent,345,2,347,0.16
208,208 - SASARAM,22,VIVEK KUMAR,Independent,2775,13,2788,1.26
208,208 - SASARAM,23,NOTA,None of the Above,953,8,961,0.43
