Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
209,209 - KARGAHAR,1,UDAY PRATAP SINGH,Bahujan Samaj Party,56551,258,56809,25.87
209,209 - KARGAHAR,2,BASHISTH SINGH,Janata Dal (United),92082,403,92485,42.12
209,209 - KARGAHAR,3,SANTOSH KUMAR MISHRA,Indian National Congress,39135,198,39333,17.91
209,209 - KARGAHAR,4,AMIT KUMAR,Rashtriya Sanatan Party,759,1,760,0.35
209,209 - KARGAHAR,5,MANTU KUMAR,Lok Shakti Party (Loktantrik),791,1,792,0.36
209,209 - KARGAHAR,6,MAHENDRA PRASAD GUPTA,Communist Party of India,2352,10,2362,1.08
209,209 - KARGAHAR,7,RAMESAR NONIYA,Rashtriya Jansambhavna Party,457,1,458,0.21
209,209 - KARGAHAR,8,RITESH RANJAN,Jan Suraaj Party,16208,90,16298,7.42
209,209 - KARGAHAR,9,GOVARDHAN SINGH,Independent,2495,4,2499,1.14
209,209 - KARGAHAR,10,DEEPAK KUMAR,Independent,468,0,468,0.21
209,209 - KARGAHAR,11,RAMSUNDAR PAL,Independent,1189,1,1190,0.54
209,209 - KARGAHAR,12,SHIV KUMAR SINGH,Independent,3097,0,3097,1.41
209,209 - KARGAHAR,13,NOTA,None of the Above,3012,1,3013,1.37
