Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
210,210 - DINARA,1,BHUPESH SINGH,Rashtriya Lok Janshakti Party,872,27,899,0.48
210,210 - DINARA,2,MALTI DEVI,Bahujan Samaj Party,8361,21,8382,4.48
210,210 - DINARA,3,SHASHI SHANKAR KUMAR ALIAS RAJESH YADAV,Rashtriya Janata Dal,67225,279,67504,36.09
210,210 - DINARA,4,ANIL KUMAR SINGH,Lohiya Janta Dal,1138,2,1140,0.61
210,210 - DINARA,5,ALOK KUMAR SINGH,Rashtriya Lok Morcha,78151,187,78338,41.88
210,210 - DINARA,6,MANOJ KUMAR SINGH,Nationalist Congress Party,777,4,781,0.42
210,210 - DINARA,7,SANJAY KUMAR,Jan Suraaj Party,6356,50,6406,3.42
210,210 - DINARA,8,ABHISHEK RANJAN,Independent,623,1,624,0.33
210,210 - DINARA,9,JAI KUMAR SINGH,Independent,17756,83,17839,9.54
210,210 - DINARA,10,NIRANJAN KUMAR RAY,Independent,680,1,681,0.36
210,210 - DINARA,11,MUNNA SINGH,Independent,1416,1,1417,0.76
210,210 - DINARA,12,RAMA KANT RAM,Independent,1422,0,1422,0.76
210,210 - DINARA,13,NOTA,None of the Above,1630,1,1631,0.87
