Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
211,211 - NOKHA,1,ANITA DEVI,Rashtriya Janata Dal,68688,451,69139,37.92
211,211 - NOKHA,2,NAGENDRA CHANDRAVANSHI,Janata Dal (United),92815,378,93193,51.12
211,211 - NOKHA,3,SUNITA KUMARI,Bahujan Samaj Party,4359,14,4373,2.4
211,211 - NOKHA,4,AJEET KUMAR SINGH,Peoples Party of India (Democratic),364,4,368,0.2
211,211 - NOKHA,5,ARVIND KUMAR,Bhartiya Lok Chetna Party,1301,6,1307,0.72
211,211 - NOKHA,6,ASHOK KUMAR SINGH,Lohiya Janta Dal,341,0,341,0.19
211,211 - NOKHA,7,DHANANJAY PASWAN,Suheldev Bharatiya Samaj Party,1377,4,1381,0.76
211,211 - NOKHA,8,NASRULLAH KHAN,Jan Suraaj Party,4766,65,4831,2.65
211,211 - NOKHA,9,RANJAN KUMAR CHAUDHARY,Bharateeya Manavadhikar party,430,0,430,0.24
211,211 - NOKHA,10,SANTOSH KUMAR SINGH,Rashtriya Jansambhavna Party,798,1,799,0.44
211,211 - NOKHA,11,SARVESHWAR TIWARY,Independent,2752,1,2753,1.51
211,211 - NOKHA,12,NOTA,None of the Above,3396,4,3400,1.86
