Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
212,212 - DEHRI,1,GUDDU KUMAR CHANDRAWANSI,Rashtriya Janata Dal,67622,432,68054,35.52
212,212 - DEHRI,2,RAJEEV RANJAN SINGH,Lok Janshakti Party (Ram Vilas),103684,338,104022,54.29
212,212 - DEHRI,3,PRADIP KUMAR JOSHI,Rashtra Sewa Dal,1749,13,1762,0.92
212,212 - DEHRI,4,PRADEEP LALLAN SINGH,Jan Suraaj Party,4289,34,4323,2.26
212,212 - DEHRI,5,PHATE BAHADUR SINGH,Aazad Samaj Party (Kanshi Ram),6961,42,7003,3.66
212,212 - DEHRI,6,INDRA RAJ ROUSHAN,Independent,356,2,358,0.19
212,212 - DEHRI,7,MD. EKRAM ANSARI,Independent,570,0,570,0.3
212,212 - DEHRI,8,RANJAN KUMAR,Independent,721,3,724,0.38
212,212 - DEHRI,9,SAMEER KUMAR,Independent,564,1,565,0.29
212,212 - DEHRI,10,SAROJ KUMAR SINGH,Independent,1804,2,1806,0.94
212,212 - DEHRI,11,NOTA,None of the Above,2400,5,2405,1.26
