Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
214,214 - ARWAL,1,DIVYA BHARTI,Rashtriya Lok Janshakti Party,1700,24,1724,1.01
214,214 - ARWAL,2,MANOJ KUMAR,Bharatiya Janata Party,79400,454,79854,46.66
214,214 - ARWAL,3,MAHANAND SINGH,Communist Party of India (Marxist-Leninist) (Liberation),65247,514,65761,38.43
214,214 - ARWAL,4,SHEKHAR RAM,Bahujan Samaj Party,3706,13,3719,2.17
214,214 - ARWAL,5,ARUN KUMAR,Janshakti Janta Dal,794,10,804,0.47
214,214 - ARWAL,6,KUNTI DEVI,Jan Suraaj Party,3311,65,3376,1.97
214,214 - ARWAL,7,PANCHAM KUMAR,Suheldev Bharatiya Samaj Party,3173,3,3176,1.86
214,214 - ARWAL,8,MANSUR ALAM,Aam Janta Pragati Party,261,3,264,0.15
214,214 - ARWAL,9,VIKASH KUMAR,Desh Janhit Party,343,0,343,0.2
214,214 - ARWAL,10,AMITESH KUMAR,Independent,1608,9,1617,0.94
214,214 - ARWAL,11,KAJAL DEVI,Independent,433,3,436,0.25
214,214 - ARWAL,12,CHANDRA SHEKHAR YADAV,Independent,563,3,566,0.33
214,214 - ARWAL,13,MANOJ KUMAR SANTOSH,Independent,1434,5,1439,0.84
214,214 - ARWAL,14,VEERENDRA PRASAD,Independent,3879,0,3879,2.27
214,214 - ARWAL,15,SATYENDRA PRASAD SHARMA,Independent,2722,4,2726,1.59
214,214 - ARWAL,16,NOTA,None of the Above,1442,9,1451,0.85
