Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
215,215 - KURTHA,1,ARUN KUMAR ALIAS ARUN KUSHWAHA,Rashtriya Lok Samta Party,1420,8,1428,0.86
215,215 - KURTHA,2,ASHOK KUMAR,Bahujan Samaj Party,3321,17,3338,2.01
215,215 - KURTHA,3,UMA SHANKAR SHARAN,Aam Aadmi Party,1441,3,1444,0.87
215,215 - KURTHA,4,KUMAR KRISHNA MOHAN URF SUDAY YADAV,Rashtriya Janata Dal,68577,408,68985,41.59
215,215 - KURTHA,5,PAPPU KUMAR VERMA,Janata Dal (United),74089,377,74466,44.9
215,215 - KURTHA,6,RAMBALI SINGH,Jan Suraaj Party,4996,34,5030,3.03
215,215 - KURTHA,7,RUPESH KUMAR,Socialist Unity Centre Of India (COMMUNIST),929,1,930,0.56
215,215 - KURTHA,8,AVINASH KUMAR,Independent,474,2,476,0.29
215,215 - KURTHA,9,NIRAJ KUMAR,Independent,1200,1,1201,0.72
215,215 - KURTHA,10,BUDDHADEV SAV,Independent,2326,1,2327,1.4
215,215 - KURTHA,11,RAUSHAN KUMAR,Independent,1639,3,1642,0.99
215,215 - KURTHA,12,VIKASH KUMAR,Independent,1353,0,1353,0.82
215,215 - KURTHA,13,VINOD KUMAR,Independent,1460,4,1464,0.88
215,215 - KURTHA,14,NOTA,None of the Above,1778,5,1783,1.07
