Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
216,216 - JEHANABAD,1,CHANDESHWAR PRASAD,Janata Dal (United),85168,441,85609,44.23
216,216 - JEHANABAD,2,PRAMOD YADAV,Rashtriya Lok Janshakti Party,921,6,927,0.48
216,216 - JEHANABAD,3,BALESHWAR SINGH,Aam Aadmi Party,1172,3,1175,0.61
216,216 - JEHANABAD,4,RAHUL KUMAR,Rashtriya Janata Dal,85706,696,86402,44.64
216,216 - JEHANABAD,5,ABHIRAM SINGH,Jan Suraaj Party,5674,86,5760,2.98
216,216 - JEHANABAD,6,NITISH KUMAR,Bhagidari Party(P),899,6,905,0.47
216,216 - JEHANABAD,7,RAMBHA KUMARI,Samajwadi Lok Parishad,498,1,499,0.26
216,216 - JEHANABAD,8,RAJU KUMAR,Socialist Unity Centre Of India (COMMUNIST),931,1,932,0.48
216,216 - JEHANABAD,9,SIDDHANATH KUMAR,Kisan Sangharsh Samiti,1151,0,1151,0.59
216,216 - JEHANABAD,10,BABLU KUMAR,Independent,1262,12,1274,0.66
216,216 - JEHANABAD,11,RITESH KUMAR,Independent,4316,14,4330,2.24
216,216 - JEHANABAD,12,NOTA,None of the Above,4561,16,4577,2.36
