Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
217,217 - GHOSI,1,ANURADHA SINHA,Bahujan Samaj Party,3688,27,3715,2.17
217,217 - GHOSI,2,RAMBALI SINGH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),68408,403,68811,40.1
217,217 - GHOSI,3,RITURAJ KUMAR,Janata Dal (United),80203,537,80740,47.05
217,217 - GHOSI,4,INDU KUMARI,Socialist Unity Centre Of India (COMMUNIST),1835,7,1842,1.07
217,217 - GHOSI,5,PRABHAT KUMAR,Jan Suraaj Party,3013,57,3070,1.79
217,217 - GHOSI,6,RAKESH ROUSHAN,Aam Janta Party Rashtriya,830,6,836,0.49
217,217 - GHOSI,7,VIJAY SHARMA,Bhartiya Sarthak Party,565,2,567,0.33
217,217 - GHOSI,8,SARYU PRASAD SINGH,Kisan Sangharsh Samiti,440,1,441,0.26
217,217 - GHOSI,9,RAJESH RANJAN,Independent,1926,5,1931,1.13
217,217 - GHOSI,10,WASIF HUSNAIN,Independent,3493,0,3493,2.04
217,217 - GHOSI,11,SATYENDRA PRASAD YADAV,Independent,3071,2,3073,1.79
217,217 - GHOSI,12,NOTA,None of the Above,3063,10,3073,1.79
