Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
218,218 - MAKHDUMPUR,1,CHHOTELAL PASWAN,Rashtriya Lok Janshakti Party,1723,10,1733,1.04
218,218 - MAKHDUMPUR,2,RANI KUMARI,Lok Janshakti Party (Ram Vilas),72535,404,72939,43.83
218,218 - MAKHDUMPUR,3,SUDHIR CHOUDHARY,Bahujan Samaj Party,3503,14,3517,2.11
218,218 - MAKHDUMPUR,4,SUBEDAR DAS,Rashtriya Janata Dal,74389,380,74769,44.93
218,218 - MAKHDUMPUR,5,DINESH PASWAN,Kisan Sangharsh Samiti,1143,2,1145,0.69
218,218 - MAKHDUMPUR,6,PREM KISHOR PASWAN,Bhartiya Lok Chetna Party,790,2,792,0.48
218,218 - MAKHDUMPUR,7,SHANKAR SWARUP,Jan Suraaj Party,4740,63,4803,2.89
218,218 - MAKHDUMPUR,8,MINTA DEVI,Independent,1180,4,1184,0.71
218,218 - MAKHDUMPUR,9,SHAILENDRA CHAUDHARI,Independent,2756,1,2757,1.66
218,218 - MAKHDUMPUR,10,NOTA,None of the Above,2756,4,2760,1.66
