Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
219,219 - GOH,1,AMRENDRA KUMAR,Rashtriya Janata Dal,93243,381,93624,44.23
219,219 - GOH,2,DR. RANVIJAY KUMAR,Bharatiya Janata Party,89282,301,89583,42.32
219,219 - GOH,3,SANJAY PRASAD ALIAS ER. SANJAY PRASAD KUSHWAHA,Bahujan Samaj Party,1938,8,1946,0.92
219,219 - GOH,4,ARUN KUMAR AMAR,Socialist Party (India),486,1,487,0.23
219,219 - GOH,5,MD EKLAKHA,Aazad Samaj Party (Kanshi Ram),6613,18,6631,3.13
219,219 - GOH,6,SITARAM DUKHARI,Jan Suraaj Party,7949,47,7996,3.78
219,219 - GOH,7,SONU KUMAR,Jagrook Janta Party,1369,2,1371,0.65
219,219 - GOH,8,AMIT KUMAR,Independent,890,3,893,0.42
219,219 - GOH,9,MUNDRIKA PRASAD,Independent,452,0,452,0.21
219,219 - GOH,10,RAJEEV RANJAN,Independent,922,0,922,0.44
219,219 - GOH,11,SHIV SHANKER SINGH,Independent,3114,1,3115,1.47
219,219 - GOH,12,NOTA,None of the Above,4646,3,4649,2.2
