Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
220,220 - OBRA,1,RISHI KUMAR,Rashtriya Janata Dal,79025,600,79625,38.95
220,220 - OBRA,2,PRAKASH CHANDRA,Lok Janshakti Party (Ram Vilas),91177,461,91638,44.83
220,220 - OBRA,3,PRATIMA KUMARI,Rashtriya Lok Janshakti Party,1089,7,1096,0.54
220,220 - OBRA,4,SANJAY KUMAR,Bahujan Samaj Party,7873,23,7896,3.86
220,220 - OBRA,5,AJIT KUMAR,Aam Janta Party Rashtriya,369,4,373,0.18
220,220 - OBRA,6,UDAY NARAYAN RAJBHAR,Suheldev Bharatiya Samaj Party,3968,0,3968,1.94
220,220 - OBRA,7,JAYNAND RAM,New India United Party,300,1,301,0.15
220,220 - OBRA,8,JITENDRA DUBEY,Akhil Bharatiya Jan Sangh,484,1,485,0.24
220,220 - OBRA,9,DHARMENDRA KUMAR,Jagrook Janta Party,610,3,613,0.3
220,220 - OBRA,10,DR. DHARMENDRA KUMAR,Akhil Hind Forward Bloc (Krantikari),369,2,371,0.18
220,220 - OBRA,11,SUDHIR KUMAR SHARMA,Jan Suraaj Party,3707,72,3779,1.85
220,220 - OBRA,12,SOM PRAKASH,Swaraj Party (Loktantrik),1674,12,1686,0.82
220,220 - OBRA,13,DHIRAJ KUMAR,Independent,480,2,482,0.24
220,220 - OBRA,14,BRAJ KISHOR SINGH,Independent,829,0,829,0.41
220,220 - OBRA,15,MD TAUFIQUE ALAM,Independent,4564,2,4566,2.23
220,220 - OBRA,16,RAM RAJ YADAV,Independent,2820,0,2820,1.38
220,220 - OBRA,17,SHIV NATH SAV,Independent,1398,0,1398,0.68
220,220 - OBRA,18,HARISANT KUMAR,Independent,1574,3,1577,0.77
220,220 - OBRA,19,NOTA,None of the Above,912,7,919,0.45
