Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
221,221 - NABINAGAR,1,AMOD KUMAR SINGH,Rashtriya Janata Dal,79977,291,80268,42.23
221,221 - NABINAGAR,2,CHETAN ANAND,Janata Dal (United),80115,265,80380,42.29
221,221 - NABINAGAR,3,VINOD KUMAR,Bahujan Samaj Party,6578,17,6595,3.47
221,221 - NABINAGAR,4,AJAY BHUIYAN,Swaraj Party (Loktantrik),707,2,709,0.37
221,221 - NABINAGAR,5,ANIL RAM,Socialist Unity Centre Of India (COMMUNIST),904,2,906,0.48
221,221 - NABINAGAR,6,ARCHANA CHANDRA,Jan Suraaj Party,4033,52,4085,2.15
221,221 - NABINAGAR,7,DHARMENDRA RAJWAR,Suheldev Bharatiya Samaj Party,2333,3,2336,1.23
221,221 - NABINAGAR,8,MRITUNJAY KUMAR,Independent,3652,18,3670,1.93
221,221 - NABINAGAR,9,LAV KUMAR SINGH,Independent,7050,25,7075,3.72
221,221 - NABINAGAR,10,NOTA,None of the Above,4037,5,4042,2.13
