Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
222,222 - KUTUMBA,1,PRAKASH KUMAR,Bahujan Samaj Party,2538,11,2549,1.47
222,222 - KUTUMBA,2,RAJESH KUMAR,Indian National Congress,62922,280,63202,36.4
222,222 - KUTUMBA,3,ANGAD KUMAR,Gana Suraksha Party,1411,1,1412,0.81
222,222 - KUTUMBA,4,RAM JANAM RAM,Aazad Samaj Party (Kanshi Ram),6014,8,6022,3.47
222,222 - KUTUMBA,5,RIMA KUMARI,Rashtrawadi Janlok Party (Satya),1019,0,1019,0.59
222,222 - KUTUMBA,6,LALAN RAM,Hindustani Awam Morcha (Secular),84465,262,84727,48.79
222,222 - KUTUMBA,7,SHYAMBALI RAM,Jan Suraaj Party,6029,36,6065,3.49
222,222 - KUTUMBA,8,NARENDRA KUMAR RAM,Independent,860,4,864,0.5
222,222 - KUTUMBA,9,PUSHP LATA DEVI,Independent,1424,3,1427,0.82
222,222 - KUTUMBA,10,RAKESH RAM,Independent,1165,0,1165,0.67
222,222 - KUTUMBA,11,VIRAMANU KUMAR BHUSHAN,Independent,2575,3,2578,1.48
222,222 - KUTUMBA,12,NOTA,None of the Above,2610,4,2614,1.51
