Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
223,223 - AURANGABAD,1,ANAND SHANKAR SINGH,Indian National Congress,79761,645,80406,40
223,223 - AURANGABAD,2,TRIVIKRAM NARAYAN SINGH,Bharatiya Janata Party,86837,363,87200,43.38
223,223 - AURANGABAD,3,SHAKTI KUMAR MISHRA,Bahujan Samaj Party,19682,94,19776,9.84
223,223 - AURANGABAD,4,NAND KISHOR YADAV,Jan Suraaj Party,2723,32,2755,1.37
223,223 - AURANGABAD,5,PRAYAG PASWAN,Socialist Unity Centre Of India (COMMUNIST),293,4,297,0.15
223,223 - AURANGABAD,6,VINAY KUMAR SINGH,Akhil Hind Forward Bloc (Krantikari),302,0,302,0.15
223,223 - AURANGABAD,7,AJIT KUMAR,Independent,198,0,198,0.1
223,223 - AURANGABAD,8,ASHISH KUMAR SONI,Independent,258,0,258,0.13
223,223 - AURANGABAD,9,DHIRENDRA KUMAR SINGH,Independent,273,0,273,0.14
223,223 - AURANGABAD,10,NEHA KUMARI,Independent,370,2,372,0.19
223,223 - AURANGABAD,11,BINOD PRASAD CHAUDHARI,Independent,339,1,340,0.17
223,223 - AURANGABAD,12,RAM SWARUP PASWAN,Independent,654,4,658,0.33
223,223 - AURANGABAD,13,RAMBAHADUR SINGH,Independent,618,0,618,0.31
223,223 - AURANGABAD,14,LOKNATH SINGH,Independent,1335,0,1335,0.66
223,223 - AURANGABAD,15,SURENDRA PRASAD,Independent,2854,0,2854,1.42
223,223 - AURANGABAD,16,NOTA,None of the Above,3346,6,3352,1.67
