Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
224,224 - RAFIGANJ,1,GHULAM SHAHID,Rashtriya Janata Dal,95198,361,95559,42.61
224,224 - RAFIGANJ,2,PRAMOD KUMAR SINGH,Janata Dal (United),107120,395,107515,47.95
224,224 - RAFIGANJ,3,SUMAN KUMARI,Bahujan Samaj Party,4410,22,4432,1.98
224,224 - RAFIGANJ,4,MAHESHWAR PASWAN,Akhil Hind Forward Bloc (Krantikari),430,4,434,0.19
224,224 - RAFIGANJ,5,RAJESH KUMAR,Sampoorna Bharat Kranti Party,247,0,247,0.11
224,224 - RAFIGANJ,6,RAHUL KUMAR,Jagrook Janta Party,437,1,438,0.2
224,224 - RAFIGANJ,7,VIKASH KUMAR SINGH,Jan Suraaj Party,3008,21,3029,1.35
224,224 - RAFIGANJ,8,UPENDRA KUMAR,Independent,555,0,555,0.25
224,224 - RAFIGANJ,9,NANDLAL SUMAN,Independent,1051,0,1051,0.47
224,224 - RAFIGANJ,10,RITESH KUMAR,Independent,773,1,774,0.35
224,224 - RAFIGANJ,11,SAT NARAIN,Independent,1031,1,1032,0.46
224,224 - RAFIGANJ,12,SURYADEEP SINGH,Independent,4214,1,4215,1.88
224,224 - RAFIGANJ,13,NOTA,None of the Above,4954,4,4958,2.21
