Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
225,225 - GURUA,1,UPENDRA PRASAD,Bharatiya Janata Party,99423,335,99758,49.02
225,225 - GURUA,2,NITISH KUMAR,Rashtriya Lok Janshakti Party,1143,5,1148,0.56
225,225 - GURUA,3,RAGHVENDRA NARAYAN YADAV,Bahujan Samaj Party,8211,31,8242,4.05
225,225 - GURUA,4,VINAY KUMAR,Rashtriya Janata Dal,75235,329,75564,37.13
225,225 - GURUA,5,ANIL SINGH,Yuva Samriddhi Dal,1170,1,1171,0.58
225,225 - GURUA,6,GAUTAM KUMAR,Swaraj Party (Loktantrik),520,3,523,0.26
225,225 - GURUA,7,DHARMENDRA NARAYAN,Rashtriya Jantantrik Morcha,600,0,600,0.29
225,225 - GURUA,8,SANJEEVA SHYAM SINGH,Jan Suraaj Party,4348,52,4400,2.16
225,225 - GURUA,9,SAMTA KUMAR,Akhil Hind Forward Bloc (Krantikari),575,0,575,0.28
225,225 - GURUA,10,SYED IMRAN NABI,Aazad Samaj Party (Kanshi Ram),3509,5,3514,1.73
225,225 - GURUA,11,NAGDEV PASWAN,Independent,1890,2,1892,0.93
225,225 - GURUA,12,MAHENDRA KUMAR,Independent,1034,1,1035,0.51
225,225 - GURUA,13,RAJENDRA KUMAR,Independent,1140,0,1140,0.56
225,225 - GURUA,14,NOTA,None of the Above,3942,4,3946,1.94
