Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
226,226 - SHERGHATI,1,UDAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),77118,152,77270,38.13
226,226 - SHERGHATI,2,PRAMOD KUMAR VERMA,Rashtriya Janata Dal,63468,278,63746,31.46
226,226 - SHERGHATI,3,SHAILESH KUMAR MISHRA,Bahujan Samaj Party,2725,20,2745,1.35
226,226 - SHERGHATI,4,KARAN RAJ,Moulik Adhikar Party,1534,1,1535,0.76
226,226 - SHERGHATI,5,PANKAJ KUMAR MISHRA,Samajwadi Lok Parishad,695,0,695,0.34
226,226 - SHERGHATI,6,PAWAN KISHORE,Jan Suraaj Party,18859,123,18982,9.37
226,226 - SHERGHATI,7,SHANE ALI KHAN,All India Majlis-E-Ittehadul Muslimeen,14722,32,14754,7.28
226,226 - SHERGHATI,8,SANTOSH THAKUR,Swaraj Party (Loktantrik),771,3,774,0.38
226,226 - SHERGHATI,9,CHANDRADEV KUMAR YADAV,Independent,671,1,672,0.33
226,226 - SHERGHATI,10,MUKESH KUMAR YADAV,Independent,2695,12,2707,1.34
226,226 - SHERGHATI,11,RAJIV KUMAR,Independent,938,2,940,0.46
226,226 - SHERGHATI,12,SHAVINA PRAVIN,Independent,1309,0,1309,0.65
226,226 - SHERGHATI,13,SARJU DAS JEE MAHARAJ,Independent,1258,1,1259,0.62
226,226 - SHERGHATI,14,SURENDRA KUMAR SUMAN,Independent,8253,31,8284,4.09
226,226 - SHERGHATI,15,NOTA,None of the Above,6967,1,6968,3.44
