Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
228,228 - BARACHATTI,1,TANUSHREE KUMARI,Rashtriya Janata Dal,99047,331,99378,43.54
228,228 - BARACHATTI,2,G S RAMCHANDRA DAS,Bahujan Samaj Party,3138,12,3150,1.38
228,228 - BARACHATTI,3,SHIVNATH KUMAR NIRALA,Rashtriya Lok Janshakti Party,1184,8,1192,0.52
228,228 - BARACHATTI,4,ARJUN BHUIYAN,Vikas Vanchit Insan Party,865,1,866,0.38
228,228 - BARACHATTI,5,INDRADEV PASWAN,Rashtriya Jansambhavna Party,1495,1,1496,0.66
228,228 - BARACHATTI,6,JYOTI DEVI,Hindustani Awam Morcha (Secular),108059,212,108271,47.44
228,228 - BARACHATTI,7,MANOJ PASWAN,Peoples Party of India (Democratic),2658,3,2661,1.17
228,228 - BARACHATTI,8,SANJAY MANDAL,Socialist Party (India),718,2,720,0.32
228,228 - BARACHATTI,9,HEMANT KUMAR,Jan Suraaj Party,3944,23,3967,1.74
228,228 - BARACHATTI,10,RAHUL KUMAR,Independent,859,0,859,0.38
228,228 - BARACHATTI,11,VINAY PASWAN,Independent,1346,0,1346,0.59
228,228 - BARACHATTI,12,NOTA,None of the Above,4322,7,4329,1.9
