Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
229,229 - BODH GAYA,1,KUMAR SARVJEET,Rashtriya Janata Dal,99717,519,100236,43.38
229,229 - BODH GAYA,2,SHYAMDEO PASWAN,Lok Janshakti Party (Ram Vilas),99089,266,99355,43
229,229 - BODH GAYA,3,ASHOK KUMAR PASWAN,Vikas Vanchit Insan Party,3674,1,3675,1.59
229,229 - BODH GAYA,4,UDAY DAS,Peoples Party of India (Democratic),1536,7,1543,0.67
229,229 - BODH GAYA,5,LAKSHMAN MANJHI,Jan Suraaj Party,3983,41,4024,1.74
229,229 - BODH GAYA,6,VIRENDRA RAJVANSHI ALIAS BIGENDRA KUMAR,Suheldev Bharatiya Samaj Party,1002,3,1005,0.43
229,229 - BODH GAYA,7,SUGIYA DEVI,Moolniwasi Samaj Party,653,0,653,0.28
229,229 - BODH GAYA,8,KUMAR PARDEEP,Independent,1110,4,1114,0.48
229,229 - BODH GAYA,9,NANDLAL KUMAR,Independent,10147,34,10181,4.41
229,229 - BODH GAYA,10,RAMSWRUP RISHIYASAN,Independent,3327,0,3327,1.44
229,229 - BODH GAYA,11,NOTA,None of the Above,5956,4,5960,2.58
