Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
230,230 - GAYA TOWN,1,AKHAURY ONKAR NATH,Indian National Congress,64143,312,64455,38.61
230,230 - GAYA TOWN,2,ANIL KUMAR,Aam Aadmi Party,568,2,570,0.34
230,230 - GAYA TOWN,3,PREM KUMAR,Bharatiya Janata Party,90529,349,90878,54.43
230,230 - GAYA TOWN,4,RAFATALI KHAN,Bahujan Samaj Party,722,2,724,0.43
230,230 - GAYA TOWN,5,AMRENDRA KUMAR,Rashtriya Sanatan Party,187,0,187,0.11
230,230 - GAYA TOWN,6,DHIRENDRA AGARWAL,Jan Suraaj Party,4413,66,4479,2.68
230,230 - GAYA TOWN,7,PURUSHOTTAM KUMAR SINHA,Samaj Satta Dal,101,1,102,0.06
230,230 - GAYA TOWN,8,MD. MANSUR ANSARI,Peace Party,135,1,136,0.08
230,230 - GAYA TOWN,9,MUNNA KUMAR,Samajwadi Lok Parishad,98,0,98,0.06
230,230 - GAYA TOWN,10,MOHAN KUMAR,Gantantrik Samaj Party,335,1,336,0.2
230,230 - GAYA TOWN,11,RAJ KISHOR SINGH,Peoples Party of India (Democratic),272,2,274,0.16
230,230 - GAYA TOWN,12,KASHI PRASAD,Independent,240,2,242,0.14
230,230 - GAYA TOWN,13,NARESH PARSAD,Independent,242,1,243,0.15
230,230 - GAYA TOWN,14,PREM KUMAR S/O-AYODHYA SAW,Independent,738,1,739,0.44
230,230 - GAYA TOWN,15,PREM KUMAR S/O-VISHNAHARI UPADHYAY,Independent,284,1,285,0.17
230,230 - GAYA TOWN,16,MUKESH KUMAR SINHA,Independent,1115,0,1115,0.67
230,230 - GAYA TOWN,17,RAVI RANJAN,Independent,631,5,636,0.38
230,230 - GAYA TOWN,18,SHIWAM KUMAR SINHA,Independent,90,0,90,0.05
230,230 - GAYA TOWN,19,SHISH MANI KUMAR,Independent,347,0,347,0.21
230,230 - GAYA TOWN,20,SANJEET KUMAR,Independent,97,2,99,0.06
230,230 - GAYA TOWN,21,MD SAMIM,Independent,187,0,187,0.11
230,230 - GAYA TOWN,22,HASAB AKHTAR,Independent,100,0,100,0.06
230,230 - GAYA TOWN,23,NOTA,None of the Above,626,10,636,0.38
