Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
231,231 - TIKARI,1,AJAY KUMAR,Rashtriya Janata Dal,97017,533,97550,45.79
231,231 - TIKARI,2,UDAY PASWAN,Bahujan Samaj Party,2783,24,2807,1.32
231,231 - TIKARI,3,ANIL KUMAR,Hindustani Awam Morcha (Secular),94957,535,95492,44.83
231,231 - TIKARI,4,DHARMENDRA PASWAN,Samata Party,1136,6,1142,0.54
231,231 - TIKARI,5,RAMJEET SINGH,Rashtriya Jansambhavna Party,666,3,669,0.31
231,231 - TIKARI,6,SHAKTIMAN STUTYA,Vocal India Party,281,0,281,0.13
231,231 - TIKARI,7,SHASHI KUMAR,Jan Suraaj Party,2490,62,2552,1.2
231,231 - TIKARI,8,ASHOK KUMAR,Independent,466,2,468,0.22
231,231 - TIKARI,9,KUNDAN KUMAR,Independent,467,4,471,0.22
231,231 - TIKARI,10,MANOJ KUMAR BHARTI,Independent,1420,5,1425,0.67
231,231 - TIKARI,11,MUNNA KUMAR,Independent,2166,4,2170,1.02
231,231 - TIKARI,12,SUBODH KUMAR SINGH,Independent,3704,26,3730,1.75
231,231 - TIKARI,13,NOTA,None of the Above,4264,4,4268,2
