Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
232,232 - BELAGANJ,1,MADHUMALA KUMARI,Aam Aadmi Party,2202,2,2204,1.08
232,232 - BELAGANJ,2,MANORMA DEVI,Janata Dal (United),95218,467,95685,46.67
232,232 - BELAGANJ,3,VISHVANATH KUMAR SINGH,Rashtriya Janata Dal,92345,458,92803,45.27
232,232 - BELAGANJ,4,MD. ABDULLAH,Bharatiya Sampuran Krantikari Party,962,5,967,0.47
232,232 - BELAGANJ,5,RICHA JHA,Samajwadi Lok Parishad,621,3,624,0.3
232,232 - BELAGANJ,6,KRISHNA PRASAD SINGH,Peoples Party of India (Democratic),344,3,347,0.17
232,232 - BELAGANJ,7,TARAVEJ ALAM,The National Road Map Party of India,258,0,258,0.13
232,232 - BELAGANJ,8,MD. SHAHABUDDIN,Jan Suraaj Party,1598,23,1621,0.79
232,232 - BELAGANJ,9,MD. ISTIYAQUE AHMAD,Independent,835,2,837,0.41
232,232 - BELAGANJ,10,RAHUL RANJAN,Independent,1267,1,1268,0.62
232,232 - BELAGANJ,11,LALU YADAV,Independent,2767,2,2769,1.35
232,232 - BELAGANJ,12,VIBHUTI NARAYAN SINGH,Independent,2562,0,2562,1.25
232,232 - BELAGANJ,13,NOTA,None of the Above,3065,9,3074,1.5
