Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
233,233 - ATRI,1,BAIJAYANTI DEVI,Rashtriya Janata Dal,75973,352,76325,38.62
233,233 - ATRI,2,MD. VAKIL VARISH,Bahujan Samaj Party,2802,15,2817,1.43
233,233 - ATRI,3,AVINASH KUMAR SONU,Janshakti Janta Dal,1013,13,1026,0.52
233,233 - ATRI,4,AKASH KUMAR,Jagrook Janta Party,1134,3,1137,0.58
233,233 - ATRI,5,ROMIT KUMAR,Hindustani Awam Morcha (Secular),101838,264,102102,51.66
233,233 - ATRI,6,SHAILENDRA KUMAR,Jan Suraaj Party,3136,41,3177,1.61
233,233 - ATRI,7,SAHIL KUMAR,Peoples Party of India (Democratic),1118,2,1120,0.57
233,233 - ATRI,8,ANJU DEVI,Independent,810,4,814,0.41
233,233 - ATRI,9,CHANDAN,Independent,2110,2,2112,1.07
233,233 - ATRI,10,VIDYABHUSHAN KUMAR,Independent,1337,6,1343,0.68
233,233 - ATRI,11,SUDHIR KUMAR,Independent,932,1,933,0.47
233,233 - ATRI,12,SUBHASH KUMAR SINHA,Independent,1223,0,1223,0.62
233,233 - ATRI,13,NOTA,None of the Above,3511,5,3516,1.78
