Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
234,234 - WAZIRGANJ,1,AWADHESH KUMAR SINGH,Indian National Congress,81359,482,81841,38.93
234,234 - WAZIRGANJ,2,CHITRANJAN KUMAR,Bahujan Samaj Party,14233,70,14303,6.8
234,234 - WAZIRGANJ,3,MOHAMMAD JULKAR NAIN,Rashtriya Lok Janshakti Party,990,4,994,0.47
234,234 - WAZIRGANJ,4,BIRENDRA SINGH,Bharatiya Janata Party,94184,390,94574,44.99
234,234 - WAZIRGANJ,5,PREM KUMAR,Janshakti Janta Dal,1315,1,1316,0.63
234,234 - WAZIRGANJ,6,SHAMBHU SHARAN SHEROMANI,Jagrook Janta Party,664,2,666,0.32
234,234 - WAZIRGANJ,7,SANTOSH KUMAR,Jan Suraaj Party,4950,67,5017,2.39
234,234 - WAZIRGANJ,8,SUNIL KUMAR,Peoples Party of India (Democratic),904,4,908,0.43
234,234 - WAZIRGANJ,9,SURESH RAJVANSHI,Moolniwasi Samaj Party,1979,1,1980,0.94
234,234 - WAZIRGANJ,10,CHANDAN KUMAR,Independent,2251,0,2251,1.07
234,234 - WAZIRGANJ,11,PIKAN MANJHI,Independent,758,2,760,0.36
234,234 - WAZIRGANJ,12,SANJAY KUMAR,Independent,1142,0,1142,0.54
234,234 - WAZIRGANJ,13,NOTA,None of the Above,4452,8,4460,2.12
