Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
235,235 - RAJAULI,1,AKHLESH KUMAR,Bahujan Samaj Party,3824,8,3832,1.91
235,235 - RAJAULI,2,PINKI BHARTI,Rashtriya Janata Dal,85906,413,86319,43.01
235,235 - RAJAULI,3,PRATIMA KUMARI,Rashtriya Lok Janshakti Party,2255,7,2262,1.13
235,235 - RAJAULI,4,RANJIT KUMAR,Aam Aadmi Party,1201,5,1206,0.6
235,235 - RAJAULI,5,VIMAL RAJBANSHI,Lok Janshakti Party (Ram Vilas),90097,175,90272,44.98
235,235 - RAJAULI,6,CHANDAN KUMAR,Suheldev Bharatiya Samaj Party,2159,1,2160,1.08
235,235 - RAJAULI,7,NARESH CHAUDHARI,Jan Suraaj Party,3296,25,3321,1.65
235,235 - RAJAULI,8,PRAKASH VIR,Janshakti Janta Dal,2842,14,2856,1.42
235,235 - RAJAULI,9,GORELAL CHAUDHARY,Independent,1011,2,1013,0.5
235,235 - RAJAULI,10,RAMANAND CHAUDHARY,Independent,1053,1,1054,0.53
235,235 - RAJAULI,11,VIJAY KAMESHWAR PASWAN,Independent,2119,1,2120,1.06
235,235 - RAJAULI,12,NOTA,None of the Above,4284,2,4286,2.14
