Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
236,236 - HISUA,1,ANIL SINGH,Bharatiya Janata Party,95490,395,95885,44.4
236,236 - HISUA,2,DINANATH THAKUR,Rashtriya Lok Janshakti Party,1530,2,1532,0.71
236,236 - HISUA,3,NITU KUMARI,Indian National Congress,67689,347,68036,31.51
236,236 - HISUA,4,SUNIL KUMAR,Bahujan Samaj Party,1499,4,1503,0.7
236,236 - HISUA,5,ANIL KUMAR,Indian National Socialistic Action Forces,1298,1,1299,0.6
236,236 - HISUA,6,DAYA NAND PRASAD,Vikas Vanchit Insan Party,604,1,605,0.28
236,236 - HISUA,7,PAWAN KUMAR,Peoples Party of India (Democratic),569,3,572,0.26
236,236 - HISUA,8,RAMANANDAN RAJAVANSHI,Suheldev Bharatiya Samaj Party,595,1,596,0.28
236,236 - HISUA,9,RAMBALAK SHARMA,Jagrook Janta Party,839,3,842,0.39
236,236 - HISUA,10,SURY DEV PRASAD,Jan Suraaj Party,5012,51,5063,2.34
236,236 - HISUA,11,AJAD GEETA PRASAD SHARMA,Independent,1381,0,1381,0.64
236,236 - HISUA,12,DHARMENDRA KUMAR,Independent,27821,50,27871,12.91
236,236 - HISUA,13,SUNIL KUMAR NIRALA,Independent,3869,1,3870,1.79
236,236 - HISUA,14,SONALI KUMARI,Independent,1945,4,1949,0.9
236,236 - HISUA,15,NOTA,None of the Above,4938,3,4941,2.29
