Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
237,237 - NAWADA,1,ASHOK KUMAR,Bahujan Samaj Party,2282,3,2285,1.13
237,237 - NAWADA,2,KAUSHAL YADAV,Rashtriya Janata Dal,59482,347,59829,29.69
237,237 - NAWADA,3,VIBHA DEVI,Janata Dal (United),86985,438,87423,43.39
237,237 - NAWADA,4,ANITA KUMARI,Bhartiya Lok Chetna Party,3087,24,3111,1.54
237,237 - NAWADA,5,ANUJ SINGH,Jan Suraaj Party,19185,164,19349,9.6
237,237 - NAWADA,6,NASIMA KHATOON,All India Majlis-E-Ittehadul Muslimeen,12778,57,12835,6.37
237,237 - NAWADA,7,SUBHASH SINGH,Indian National Socialistic Action Forces,658,1,659,0.33
237,237 - NAWADA,8,JITENDRA PRASAD,Independent,1983,12,1995,0.99
237,237 - NAWADA,9,PREM KUMAR,Independent,1702,2,1704,0.85
237,237 - NAWADA,10,MANOJ KUMAR,Independent,1862,0,1862,0.92
237,237 - NAWADA,11,RAVISH KUMAR,Independent,4316,1,4317,2.14
237,237 - NAWADA,12,BIBHA KUMARI,Independent,2855,2,2857,1.42
237,237 - NAWADA,13,NOTA,None of the Above,3264,4,3268,1.62
