Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
238,238 - GOBINDPUR,1,PURNIMA YADAV,Rashtriya Janata Dal,49461,214,49675,27.46
238,238 - GOBINDPUR,2,BINITA MEHTA,Lok Janshakti Party (Ram Vilas),72360,221,72581,40.12
238,238 - GOBINDPUR,3,POONAM KUMARI,Jan Suraaj Party,3901,16,3917,2.17
238,238 - GOBINDPUR,4,MUKESH RAM,Suheldev Bharatiya Samaj Party,2961,4,2965,1.64
238,238 - GOBINDPUR,5,SANJAY YADAV,Indian National Socialistic Action Forces,698,0,698,0.39
238,238 - GOBINDPUR,6,SUBHASH KUMAR,Jagrook Janta Party,1574,5,1579,0.87
238,238 - GOBINDPUR,7,MOHAMMED KAMRAN,Independent,39621,192,39813,22.01
238,238 - GOBINDPUR,8,RAHUL KUMAR,Independent,1656,1,1657,0.92
238,238 - GOBINDPUR,9,SURJEET KUMAR,Independent,3611,0,3611,2
238,238 - GOBINDPUR,10,NOTA,None of the Above,4402,2,4404,2.43
