Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
239,239 - WARSALIGANJ,1,ANITA,Rashtriya Janata Dal,97493,340,97833,48.72
239,239 - WARSALIGANJ,2,ARUNA DEVI,Bharatiya Janata Party,89877,413,90290,44.96
239,239 - WARSALIGANJ,3,AKHLAQUR RAHMAN MALLICK,Rashtriya Secular Majlis Party,1455,7,1462,0.73
239,239 - WARSALIGANJ,4,UMESH PRASAD,Jan Suraaj Party,1609,17,1626,0.81
239,239 - WARSALIGANJ,5,NANDLAL SHARMA,Jagrook Janta Party,461,1,462,0.23
239,239 - WARSALIGANJ,6,SURENDRA PASWAN,Indian National Socialistic Action Forces,345,3,348,0.17
239,239 - WARSALIGANJ,7,UMAKANT,Independent,387,0,387,0.19
239,239 - WARSALIGANJ,8,NAYAN KUMAR,Independent,1436,7,1443,0.72
239,239 - WARSALIGANJ,9,RAKESH KUMAR,Independent,2861,0,2861,1.42
239,239 - WARSALIGANJ,10,NOTA,None of the Above,4101,1,4102,2.04
