Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
240,240 - SIKANDRA,1,UDAY NARAIN CHOUDHARY,Rashtriya Janata Dal,67577,119,67696,34.85
240,240 - SIKANDRA,2,RAMADHIN PASWAN,Rashtriya Lok Janshakti Party,1537,14,1551,0.8
240,240 - SIKANDRA,3,VINOD KUMAR CHAUDHARY,Indian National Congress,1792,11,1803,0.93
240,240 - SIKANDRA,4,SANTOSH KUMAR DAS,Bahujan Samaj Party,1156,4,1160,0.6
240,240 - SIKANDRA,5,PRAPHULL KUMAR MANJHI,Hindustani Awam Morcha (Secular),91480,123,91603,47.16
240,240 - SIKANDRA,6,MANOJ KUMAR DAS,All India Majlis-E-Ittehadul Muslimeen,10694,7,10701,5.51
240,240 - SIKANDRA,7,SUBHASH CHANDRA BOSH,Jan Suraaj Party,12233,65,12298,6.33
240,240 - SIKANDRA,8,UDAY RAVIDAS,Independent,1348,1,1349,0.69
240,240 - SIKANDRA,9,PRIYANKA KUMARI,Independent,982,4,986,0.51
240,240 - SIKANDRA,10,SANGEETA PASWAN,Independent,1251,0,1251,0.64
240,240 - SIKANDRA,11,NOTA,None of the Above,3824,1,3825,1.97
