Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
241,241 - JAMUI,1,MAHAVIR YADAV,Bahujan Samaj Party,1389,3,1392,0.64
241,241 - JAMUI,2,MOHAMMAD SHAMSAD ALAM,Rashtriya Janata Dal,69196,174,69370,31.93
241,241 - JAMUI,3,RAMASHISH YADAV,Aam Aadmi Party,1393,3,1396,0.64
241,241 - JAMUI,4,SHREYASI SINGH,Bharatiya Janata Party,123654,214,123868,57.02
241,241 - JAMUI,5,ANIL PRASAD SAH,Jan Suraaj Party,5868,37,5905,2.72
241,241 - JAMUI,6,PRAMOD MISHRA,Samaj Satta Dal,422,0,422,0.19
241,241 - JAMUI,7,AMRENDRA ALIAS KHOKHAN SINGH,Independent,4969,13,4982,2.29
241,241 - JAMUI,8,OM PRAKASH YADAV,Independent,422,0,422,0.19
241,241 - JAMUI,9,RUPESH SINGH,Independent,1250,1,1251,0.58
241,241 - JAMUI,10,SANTOSH KUMAR YADAV,Independent,2528,0,2528,1.16
241,241 - JAMUI,11,MD. SAMIR,Independent,1151,0,1151,0.53
241,241 - JAMUI,12,SUSHANT KUMAR SINGH,Independent,1873,0,1873,0.86
241,241 - JAMUI,13,NOTA,None of the Above,2683,4,2687,1.24
