Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
242,242 - JHAJHA,1,AMARJEET KUMAR SINGH,National People's Party,3276,2,3278,1.34
242,242 - JHAJHA,2,JAY PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,103934,121,104055,42.67
242,242 - JHAJHA,3,DAMODAR RAWAT,Janata Dal (United),108158,159,108317,44.42
242,242 - JHAJHA,4,SHIVARAJ YADAV,Bahujan Samaj Party,2005,2,2007,0.82
242,242 - JHAJHA,5,KEDAR KUMAR MANDAL,Apni Janta Party,964,0,964,0.4
242,242 - JHAJHA,6,NILENDU DUTTA MISHARA,Jan Suraaj Party,6125,23,6148,2.52
242,242 - JHAJHA,7,NEMO DEVI,Independent,1758,1,1759,0.72
242,242 - JHAJHA,8,MOHAMMAD IRFAN,Independent,9577,1,9578,3.93
242,242 - JHAJHA,9,RAVINDRA YADAV,Independent,3139,2,3141,1.29
242,242 - JHAJHA,10,NOTA,None of the Above,4614,5,4619,1.89
