Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
243,243 - CHAKAI,1,ALLAUDIN ANSARI,Rashtriya Lok Janshakti Party,3665,2,3667,1.57
243,243 - CHAKAI,2,SAVITRI DEVI,Rashtriya Janata Dal,80275,82,80357,34.51
243,243 - CHAKAI,3,SUMIT KUMAR SINGH,Janata Dal (United),67310,75,67385,28.94
243,243 - CHAKAI,4,NARESH KUMAR SHARMA,Jagrook Janta Party,1265,0,1265,0.54
243,243 - CHAKAI,5,RAHUL KUMAR,Jan Suraaj Party,1894,4,1898,0.82
243,243 - CHAKAI,6,ALIJAVETH SOREN,Independent,6815,13,6828,2.93
243,243 - CHAKAI,7,CHANDAN KUMAR SINGH,Independent,12484,18,12502,5.37
243,243 - CHAKAI,8,RANJIT KUMAR VERMA,Independent,2394,0,2394,1.03
243,243 - CHAKAI,9,SANJAY PRASAD,Independent,48026,39,48065,20.64
243,243 - CHAKAI,10,SOSANA MURMU,Independent,3980,0,3980,1.71
243,243 - CHAKAI,11,NOTA,None of the Above,4519,3,4522,1.94
